제품 번호,제품 이름,제조사,식품 분류,총 열량,총 당류,감미료 정보,g당
54,아임키토 저당 고추장 소스,㈜진푸드,조미식품류,95,3,"알룰로스(18g), 에리스리톨",100
55,무화당 고추장,㈜ 특별한맛주식회사,조미식품류,86,4.42,알룰로스(17.8g),100
56,무화당 초고추장 소스,㈜ 특별한맛주식회사,조미식품류,116,3.85,알룰로스(25g),100
57,무화당만능고추장,㈜ 특별한맛주식회사,조미식품류,110,3.28,알룰로스(29.2),100
58,초코리얼씨,(주)해시즈,농산가공식품류,140,0,"말티톨, 에리스리톨, 스테비아",35
59,말차리얼씨,(주)해시즈,농산가공식품류,150,0,"말티톨, 에리스리톨, 스테비아",35
60,프로틴바 요거치즈,(주)해시즈,"과자류, 빵류 또는 떡류",140,2,알룰로스,66
61,제로당 바닐라크림롤,(주)해시즈,"과자류, 빵류 또는 떡류",296,1,"스테비아, 에리스리톨",100
62,제로당 초코크림롤,(주)해시즈,"과자류, 빵류 또는 떡류",278,1.4,"스테비아, 에리스리톨",100
63,당을 줄인 맛짱,피코크,"과자류, 빵류 또는 떡류",532,10,자일리톨(2.07%),100
64,당을 줄인 트위스트과자,피코크,"과자류, 빵류 또는 떡류",555,10,"알세설팜칼륨, 효소처리스테비아",100
65,당을 줄인 왕소라형과자,피코크,"과자류, 빵류 또는 떡류",466,15,효소처리스테비아,100
66,당을 줄인 고구마형과자,피코크,"과자류, 빵류 또는 떡류",470,12,"알세설팜칼륨, 효소처리스테비아",100
67,요거트비스켓 (저지방요거트4% 함유),COLUSSI S. P. A.,"과자류, 빵류 또는 떡류",134,1,말티톨,30
68,라칸토캔디(페퍼민트맛),"OHKURA SEIKA CO., LTD","과자류, 빵류 또는 떡류",0,0,에리스리톨(39.44g),40
69,라칸토캔디(커피우유맛),"OHKURA SEIKA CO., LTD","과자류, 빵류 또는 떡류",0,0,에리스리톨(39.48g),40
70,라칸토캔디(블루베리맛),"OHKURA SEIKA CO., LTD","과자류, 빵류 또는 떡류",0,0,에리스리톨(39.32g),40
71,라칸토캔디(딸기우유맛),"OHKURA SEIKA CO., LTD","과자류, 빵류 또는 떡류",0,0,에리스리톨(39.2g),40
72,라칸토캔디(요거트맛),"OHKURA SEIKA CO., LTD","과자류, 빵류 또는 떡류",0,0,에리스리톨(39.4g),40
73,드림카카오제로,㈜에스디푸드,"코코아 가공품, 초콜릿류",153,2,말티톨,32
74,제로 초콜릿칩 쿠키,롯데제과,"코코아 가공품, 초콜릿류",66,0,"말티톨, 에리스리톨, 폴리글리시톨 시럽",14
75,제로 카카오 케이크,롯데제과,"코코아 가공품, 초콜릿류",64,0,"말티톨, 폴리 글리시톨 시럽",14.3
76,몽쉘 제로,롯데제과,"코코아 가공품, 초콜릿류",65,0,"말티톨, 폴리 글리시톨 시럽",14.3
77,제로 크런치 초코,롯데제과,"코코아 가공품, 초콜릿류",70,0,말티톨,14
78,맥콜 제로,일화,주류,5,0,"수크랄로스, 아세설팜칼륨",250
79,진로 제로슈거,하이트진로,주류,89,0,"효소처리 스테비아, 에리스리톨, 토마틴",100
80,스키니피그 쑥떡 파인트 아이스크림,㈜스키니피그크리머리,빙과류,75,6,"알룰로스, 스테비아, 에리스리톨",100
81,스키니피그 초콜릿 파인트 아이스크림,㈜스키니피그크리머리,빙과류,70,4,"알룰로스, 스테비아, 에리스리톨",100
82,스키니피그 팥떡 파인트 아이스크림,㈜스키니피그크리머리,빙과류,75,5,"알룰로스, 스테비아, 에리스리톨",100
83,스키니피그 흑임자떡 파인트 아이스크림,㈜스키니피그크리머리,빙과류,75,5,"알룰로스, 스테비아, 에리스리톨",100
84,스키니피그 쿠키앤크림 파인트 아이스크림,㈜스키니피그크리머리,빙과류,75,5,"알룰로스, 스테비아, 에리스리톨",100
85,스키니피그 바닐라빈 파인트 아이스크림,㈜스키니피그크리머리,빙과류,70,5,"알룰로스, 스테비아, 에리스리톨",100
86,스키니피그 솔티드카라멜 파인트 아이스크림,㈜스키니피그크리머리,빙과류,65,4,"알룰로스, 스테비아, 에리스리톨",100
87,스키니피그 녹차 파인트 아이스크림,㈜스키니피그크리머리,빙과류,70,5,"알룰로스, 스테비아, 에리스리톨",100
88,스키니피그 그린애플샤베트 파인트 아이스크림,㈜스키니피그크리머리,빙과류,55,5,"알룰로스, 스테비아, 에리스리톨",100
89,스키니피그 민트초코 파인트 아이스크림,㈜스키니피그크리머리,빙과류,70,6,"알룰로스, 스테비아, 에리스리톨",100
90,스키니피그 딸기 파인트 아이스크림,㈜스키니피그크리머리,빙과류,65,6,"알룰로스, 스테비아, 에리스리톨",100
91,스키니피그 핑크솔트 모나카,㈜스키니피그크리머리,빙과류,125,4,"알룰로스, 스테비아, 에리스리톨",140
92,라라스윗 초코모나카,㈜라라스윗,빙과류,125,5,"알룰로스(2g), 효소처리스테비아, 에리스리톨",140
93,라라스윗 생우유모나카,㈜라라스윗,빙과류,125,4,"알룰로스(2g), 효소처리스테비아",140
94,라라스윗 치즈케이크 파인트 아이스크림,㈜라라스윗,빙과류,75,4,효소처리스테비아,100
95,라라스윗 녹차 파인트 아이스크림,㈜라라스윗,빙과류,60,4,"효소처리스테비아, 에리스리톨",100
96,라라스윗 초코 파인트 아이스크림,㈜라라스윗,빙과류,65,3,"알룰로스, 효소처리스테비아, 에리스리톨",100
97,라라스윗 민트초코 파인트 아이스크림,㈜라라스윗,빙과류,70,6,"알룰로스, 효소처리스테비아, 에리스리톨",100
98,라라스윗 바닐라빈 파인트 아이스크림,㈜라라스윗,빙과류,60,4,"알룰로스, 효소처리스테비아",100
99,라라스윗 쿠키앤크림 파인트 아이스크림,㈜라라스윗,빙과류,75,6,효소처리스테비아,100
100,라라스윗 딸기 파인트 아이스크림,㈜라라스윗,빙과류,65,6,"효소처리스테비아, 에리스리톨",100
101,라라스윗 빵샌드,㈜라라스윗,빙과류,155,11,"알룰로스, 효소처리스테비아",180
102,저당 소고기가지된장볶음 세트,㈜현대그린푸드 스마트푸드센터,즉석섭취식품류,121.32,2.21,알룰로스,100
103,저당 소고기렌틸콩오크라볶음 세트,㈜현대그린푸드 스마트푸드센터,즉석섭취식품류,104.53,2.09,알룰로스,100
104,저당 숙주부추소불고기 세트,㈜현대그린푸드 스마트푸드센터,즉석섭취식품류,111.5,3.14,알룰로스,100
105,저당 쌈장돼지고기주물럭 세트,㈜현대그린푸드 스마트푸드센터,즉석섭취식품류,109.84,1.64,알룰로스,100
106,저당 오야꼬동 세트,㈜현대그린푸드 스마트푸드센터,즉석섭취식품류,94.72,3.11,알룰로스,100
107,저당 쿵파오쉬림프 세트,㈜현대그린푸드 스마트푸드센터,즉석섭취식품류,104.3,3.64,알룰로스,100
108,저당 토마토소스찜닭 세트,㈜현대그린푸드 스마트푸드센터,즉석섭취식품류,92.95,2.56,알룰로스,100
109,저당식단 고사리소불고기 세트,㈜현대그린푸드 스마트푸드센터,즉석섭취식품류,117.5,2,알룰로스,100
110,저당 오리향채소불고기 세트,㈜현대그린푸드 스마트푸드센터,즉석섭취식품류,92.86,2.38,알룰로스,100
111,저당 닭살버섯로제소스볶음 세트,㈜현대그린푸드 스마트푸드센터,즉석섭취식품류,106.52,2.17,알룰로스,100
112,저당 소고기파래조림 세트,㈜현대그린푸드 스마트푸드센터,즉석섭취식품류,96.77,1.61,알룰로스,100
113,케어온 당밸런스,hy,음료류,25,1.5,"알룰로스, 수크랄로스",100
114,저당 계피마늘찜닭 세트,㈜현대그린푸드 스마트푸드센터,즉석섭취식품류,320,7,알룰로스,287
115,저당 구운레몬치킨 세트,㈜현대그린푸드 스마트푸드센터,즉석섭취식품류,370,9,알룰로스,272
116,저당 돼지고기애호박짜글이 세트,㈜현대그린푸드 스마트푸드센터,즉석섭취식품류,285,7,알룰로스,302
117,저당 두부구이/버섯데리야끼볶음 세트,㈜현대그린푸드 스마트푸드센터,즉석섭취식품류,320,7,알룰로스,307
118,저당 매콤주꾸미마늘종볶음 세트,㈜현대그린푸드 스마트푸드센터,즉석섭취식품류,295,7,알룰로스,282
119,저당 메밀오징어볶음 세트,㈜현대그린푸드 스마트푸드센터,즉석섭취식품류,296,10,알룰로스,287
120,저당 민들레닭살볶음 세트,㈜현대그린푸드 스마트푸드센터,즉석섭취식품류,315,11,알룰로스,277
121,저당 버섯팔보채 세트,㈜현대그린푸드 스마트푸드센터,즉석섭취식품류,310,8,알룰로스,287
122,클라우드 클리어제로,롯데칠성음료(주),주류,8.45,12.39,아세설팜칼륨,100
123,비피더스 지방제로 플레인,(주) 푸르밀,음료류,50,7.69,수크랄로스,100
124,서울우유 요구르트 제로,(주)데어리젠,음료류,63.7,11.11,효소처리스테비아,100
125,제로 후르츠 젤리,(주)에스디푸드,"과자류, 빵류 또는 떡류",30,0,"말티톨시럽, 수크랄로스, 알세설팜칼륨",14
126,파리콜라 제로,(주)이마트,음료류,0,0,"수크랄로스, 알세설팜칼륨",100
127,부르르 제로콜라,(주)일화초정공장,음료류,0,0,"에리스리톨, 수크랄로스, 알세설팜칼륨",100
128,부르르 제로사이다,(주)일화초정공장,음료류,0,0,"에리스리톨, 수크랄로스, 알세설팜칼륨",100
129,815콜라 제로,(주)일화초정공장,음료류,0,0,"수크랄로스, 알세설팜칼륨",100
130,제로스쿱 쇼콜라홀릭,(주)제나,빙과류,63.5,3,알룰로스,100
131,링티 제로 복숭아맛,동원시스템즈 횡성공장,음료류,0,0,"에리스리톨, 수크랄로스",100
132,펩시제로슈거라임향,롯데칠성음료(주),음료류,0,0,"수크랄로스, 알세설팜칼륨",100
133,칠성사이다제로,롯데칠성음료(주),음료류,0,0,"알룰로스, 수크랄로스, 알세설팜칼륨",100
134,제로 초콜릿 스위트,아밀키 성남공장,"코코아 가공품, 초콜릿류",101,7,알룰로스,30
135,탐사 제로사이다,오케이에프음료 주식회사,음료류,0,0,"수크랄로스, 알세설팜칼륨",100
136,제로 브라우니,제로베이커리,"과자류, 빵류 또는 떡류",201,1,에리스리톨,55
137,제로 브라우니샌드,제로베이커리,"과자류, 빵류 또는 떡류",158,1,에리스리톨,40
138,제로 스콘,제로베이커리,"과자류, 빵류 또는 떡류",220,1,에리스리톨,55
139,제로 앙버터스콘,제로베이커리,"과자류, 빵류 또는 떡류",392,2,에리스리톨,85
140,제로 초코타르트,제로베이커리,"과자류, 빵류 또는 떡류",280,2,에리스리톨,60
141,제로 카스테라,제로베이커리,"과자류, 빵류 또는 떡류",478,2,에리스리톨,95
142,제로 크림치즈타르트,제로베이커리,"과자류, 빵류 또는 떡류",234,2,에리스리톨,55
143,제로와플(코코넛),제로베이커리,"과자류, 빵류 또는 떡류",121,1,에리스리톨,48
144,코카콜라 제로,코카콜라음료(주),음료류,0,0,"수크랄로스, 알세설팜칼륨",100
145,스프라이트 제로,코카콜라음료(주),음료류,0,0,"수크랄로스, 알세설팜칼륨",100
146,액티비아 팻제로 드링크 복숭아,풀무원다논주식회사,음료류,47,8,효소처리스테비아,100
147,액티비아 팻제로 드링크 딸기,풀무원다논주식회사,음료류,47,8,효소처리스테비아,100
148,모닝제로,한보D&F,음료류,90,4,D-소르비톨액,100
149,비피더스 지방제로 세븐베리,푸르밀,음료류,53.44,10,수크랄로스,100
150,제로 초콜릿 엑스퍼트,아밀키 성남공장,"코코아 가공품, 초콜릿류",100,0,"에리스리톨, 스테비아, 알룰로스",30
151,제로스콘 크럼블,제로베이커리,"과자류, 빵류 또는 떡류",279,2,에리스리톨,30
152,제로쌀스콘 카카오,제로베이커리,"과자류, 빵류 또는 떡류",353,2,"에리스리톨, 알룰로스",65
153,제로스콘 단호박,제로베이커리,"과자류, 빵류 또는 떡류",236,1,알룰로스,55
154,제로스콘 흑임자,제로베이커리,"과자류, 빵류 또는 떡류",234,1,알룰로스,60
